Module Code,MC,Module Name,Year,Semester
MA1131,3,Y1S1 Math,1,1
MA1231,2,Y1S1 MO,1,1
MA1132,3,Y1S2 Math,1,2
MA1232,2,Y1S2 MO,1,2
MA1232V,2,Y1S2 MO V,1,2
MA2131,4,Y2S1 Math,2,1
MA2231,2,Y2S1 MO,2,1
MA2231V,2,Y2S1 MO V,2,1
MA2132,4,Y2S2 Math,2,2
MA2232,2,Y2S2 MO,2,2
MA2232V,2,Y2S2 MO V,2,2
MA3131,4,Y3S1 Math,3,1
MA3231,2,Y3S1 MO,3,1
MA3231V,2,Y3S1 MO V,3,1
MA3132,4,Y3S2 Math,3,2
MA4131,5,Y4S1 Math,4,1
MA4231V,2,Y4 MO,4,1
MA4132,5,Y4S2 Math,4,2
MA5131,5,Y5S1 Math,5,1
MA5231V,2,Y5 MO,5,1
MA5132,5,Y5S2 Math,5,2
MA6131,5,Y6S1 Math,6,1
MA6132,5,Y6S2 Math,6,2
CS1131,2,Y1 CS,1,2
CS2231,2,Y2S1 CS,2,1
CS2233,2,PSC,2,2
CS3231,3,OOP I,3,1
CS3232,2,IOT I,3,1
CS3233,3,OOP II,3,2
CS3234,2,IOT II,3,2
CS4131,4,Andoid App Dev,4,1
CS4231,2,IOT III,4,1
CS4132,4,Data Analytics,4,2
CS4133V,4,SoC Precursor Module,4,2
CS4134V,4,DigiPen Precursor Module,4,2
CS4232,4,Data Analytics,4,2
CS5131,4,AI,5,1
CS5132,4,Data Structures and Algo,5,2
CS6131,4,Database Design,6,1
CS6132,4,Computer Networking and Security,6,2
BL1131,4,Y1 Bio,1,0
BL2231,2,Y2S1 BO,2,1
BL2232,2,Y2S2 BO,2,2
BL2131,6,Y2 Bio,2,0
BL3231,2,Y3S1 BO,3,1
BL3232,2,Y3S2 BO,3,2
BL3131,6,Y3 Bio,3,0
BL4231,2,Y4S1 BO,4,1
BL4232,2,Y4S2 BO,4,2
BL4131,8,Y4 Bio,4,0
BL5231,2,Y5S1 BO,5,1
BL5232,2,Y5S2 BO,5,2
BL5131,8,Y5 Bio,5,0
BL6131,8,Y6 Bio,6,0
CM1131,4,Y1 Chem,1,0
CM2231,2,Y2S2 Chem O,2,2
CM2131,6,Y2 Chem,2,0
CM3231,2,Y3S1 Chem O,3,1
CM3232,2,Y3S2 Chem O,3,2
CM3131,6,Y3 Chem,3,0
CM4131,4,Y4S1 Chem,4,1
CM4231,2,Y4S1 Chem O,4,1
CM4132,4,Y4S2 Chem,4,2
CM4232,2,Y4S2 Chem O,4,2
CM4234,2,Y4S1 Chemistry of Minerals and Gems,4,1
CM4234,2,Y4S2 Chemistry of Minerals and Gems,4,2
