Module Code,MC,Module Name,Year,Semester
MA6132,5,Y6S2 Math,6,2
CS6132,4,Computer Networking and Security,6,2
CM6132,4,Y6S2 Chem,6,2
CM6231,2,Y6S2 Medicinal Chemistry,6,2
CM6232,2,Y6S2 Forensic Science,6,2
PC6132,4,Y6S2 Physics,6,2
EL6133,2,Y6 English - Advanced Academic Reading and Writing,6,2
EL6134,2,Y6 English - Understanding Discourse,6,2
EL6135,2,Y6 English - Advanced Creative Writing,6,2
EN6132,4,Y6S2 Lit,6,2
EC6132,4,Y6S2 Econs,6,2
GE6132,4,Y6S2 Geography,6,2
HU6131,2,Y6S2 Humanities Capstone Project,6,2
HY6132,4,Y6S2 History,6,2
MU6132,4,Y6S2 Music,6,2
AR6132,4,Y6S2 Art,6,2
