Module Code,MC,Module Name,Year,Semester
MA4131,5,Y4S1 Math,4,1
MA4231V,2,Y4 MO,4,1
CS4131,4,Andoid App Dev,4,1
CS4231,2,IOT III,4,1
BL4231,2,Y4S1 BO,4,1
CM4131,4,Y4S1 Chem,4,1
CM4231,2,Y4S1 Chem O,4,1
CM4234,2,Y4S1 Chemistry of Minerals and Gems,4,1
PC4131,4,Y4S1 Physics,4,1
PC4231,2,Y4S1 PO,4,1
EN4131,3,Y4S1 Lit,4,1
CL4231,3,Y4S1 3rd Lang Chinese,4,1
CL4233,2,Appreciation of Chinese Language and Culture I,4,1
FR4231,3,Y4S1 3rd Lang French,4,1
JP4231,3,Y4S1 3rd Lang Japanese,4,1
ML4231,3,Y4S1 3rd Lang Malay,4,1
EC4131,4,Y4S1 Econs,4,1
GE4131,4,Y4S1 Geography,4,1
HY4131,4,Y4S1 History,4,1
MU4131,4,Y4S1 Music,4,1
AR4131,4,Y4S1 Art,4,1
