Module Code,MC,Module Name,Year,Semester
MA6131,5,Y6S1 Math,6,1
MA6132,5,Y6S2 Math,6,2
CS6131,4,Database Design,6,1
CS6132,4,Computer Networking and Security,6,2
BL6131,8,Y6 Bio,6,0
CM6131,4,Y6S1 Chem,6,1
CM6132,4,Y6S2 Chem,6,2
CM6231,2,Y6S1 Medicinal Chemistry,6,1
CM6231,2,Y6S2 Medicinal Chemistry,6,2
CM6232,2,Y6S1 Forensic Science,6,1
CM6232,2,Y6S2 Forensic Science,6,2
PC6131,4,Y6S1 Physics,6,1
PC6132,4,Y6S2 Physics,6,2
EL6131,2,Y6 English - Critical Reading and Writing III,6,1
EL6132,2,Y6 English - Language for Personal and Professional Communication,6,0
EL6133,2,Y6 English - Advanced Academic Reading and Writing,6,2
EL6134,2,Y6 English - Understanding Discourse,6,2
EL6135,2,Y6 English - Advanced Creative Writing,6,2
EN6131,4,Y6S1 Lit,6,1
EN6132,4,Y6S2 Lit,6,2
EC6131,4,Y6S1 Econs,6,1
EC6132,4,Y6S2 Econs,6,2
GE6131,4,Y6S1 Geography,6,1
GE6132,4,Y6S2 Geography,6,2
HU6131,2,Y6S1 Humanities Capstone Project,6,1
HU6131,2,Y6S2 Humanities Capstone Project,6,2
HY6131,4,Y6S1 History,6,1
HY6132,4,Y6S2 History,6,2
MU6131,4,Y6S1 Music,6,1
MU6132,4,Y6S2 Music,6,2
AR6131,4,Y6S1 Art,6,1
AR6132,4,Y6S2 Art,6,2
